goos: darwin
goarch: arm64
pkg: github.com/bakhod1r/cachex/bench
cpu: Apple M1
BenchmarkHitRatio/freecache-8                      	       2	 253760000 ns/op	        74.04 hit%
BenchmarkHitRatio/freecache-8                      	       2	 253113458 ns/op	        74.04 hit%
BenchmarkHitRatio/freecache-8                      	       2	 251367958 ns/op	        74.04 hit%
BenchmarkParallelGetHitView-8                      	16845848	        39.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHitView-8                      	15046376	        37.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHitView-8                      	13886973	        38.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHitView-8                      	14555686	        38.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHitView-8                      	14182399	        46.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHitView-8                      	12491899	        45.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHitView-8                      	13431156	        39.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHitView-8                      	13949770	        37.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHitView-8                      	14357529	        37.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelGetHitView-8                      	14198872	        37.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkStampede/cachex-8                         	     532	   1190161 ns/op	         1.000 loads/key
BenchmarkStampede/cachex-8                         	     488	   1242692 ns/op	         1.000 loads/key
BenchmarkStampede/cachex-8                         	     482	   1246463 ns/op	         1.000 loads/key
BenchmarkStampede/cachex-8                         	     498	   1242023 ns/op	         1.000 loads/key
BenchmarkStampede/cachex-8                         	     487	   1235390 ns/op	         1.000 loads/key
BenchmarkStampede/cachex-8                         	     489	   1227378 ns/op	         1.000 loads/key
BenchmarkStampede/cachex-8                         	     484	   1231986 ns/op	         1.000 loads/key
BenchmarkStampede/cachex-8                         	     498	   1237444 ns/op	         1.000 loads/key
BenchmarkStampede/cachex-8                         	     486	   1231113 ns/op	         1.000 loads/key
BenchmarkStampede/cachex-8                         	     496	   1243510 ns/op	         1.000 loads/key
BenchmarkStampede/otter-8                          	     510	   1199291 ns/op	         1.000 loads/key
BenchmarkStampede/otter-8                          	     513	   1241561 ns/op	         1.000 loads/key
BenchmarkStampede/otter-8                          	     471	   1262312 ns/op	         1.000 loads/key
BenchmarkStampede/otter-8                          	     481	   1261912 ns/op	         1.000 loads/key
BenchmarkStampede/otter-8                          	     478	   1257982 ns/op	         1.000 loads/key
BenchmarkStampede/otter-8                          	     480	   1269266 ns/op	         1.000 loads/key
BenchmarkStampede/otter-8                          	     478	   1233241 ns/op	         1.000 loads/key
BenchmarkStampede/otter-8                          	     478	   1227918 ns/op	         1.000 loads/key
BenchmarkStampede/otter-8                          	     457	   1263043 ns/op	         1.000 loads/key
BenchmarkStampede/otter-8                          	     478	   1262255 ns/op	         1.000 loads/key
BenchmarkStampede/theine-8                         	     465	   1283495 ns/op	         1.000 loads/key
BenchmarkStampede/theine-8                         	     475	   1299630 ns/op	         1.000 loads/key
BenchmarkStampede/theine-8                         	     469	   1296954 ns/op	         1.000 loads/key
BenchmarkStampede/theine-8                         	     468	   1242449 ns/op	         1.000 loads/key
BenchmarkStampede/theine-8                         	     502	   1210251 ns/op	         1.000 loads/key
BenchmarkStampede/theine-8                         	     470	   1240364 ns/op	         1.000 loads/key
BenchmarkStampede/theine-8                         	     507	   1190166 ns/op	         1.000 loads/key
BenchmarkStampede/theine-8                         	     500	   1299055 ns/op	         1.000 loads/key
BenchmarkStampede/theine-8                         	     462	   1447210 ns/op	         1.000 loads/key
BenchmarkStampede/theine-8                         	     506	   1248432 ns/op	         1.000 loads/key
BenchmarkStampede/hashicorp-lru_(cache-aside)-8    	     470	   1246785 ns/op	        64.00 loads/key
BenchmarkStampede/hashicorp-lru_(cache-aside)-8    	     494	   1234130 ns/op	        64.00 loads/key
BenchmarkStampede/hashicorp-lru_(cache-aside)-8    	     436	   1363011 ns/op	        63.94 loads/key
BenchmarkStampede/hashicorp-lru_(cache-aside)-8    	     475	   1283011 ns/op	        63.93 loads/key
BenchmarkStampede/hashicorp-lru_(cache-aside)-8    	     492	   1269529 ns/op	        64.00 loads/key
BenchmarkStampede/hashicorp-lru_(cache-aside)-8    	     478	   1294993 ns/op	        63.95 loads/key
BenchmarkStampede/hashicorp-lru_(cache-aside)-8    	     469	   1254736 ns/op	        63.91 loads/key
